gene	R2_batch	R2_group	uniq_batch	uniq_group	dominant
ENSMUSG00000034771	0.0605	0.1015	0.0674	0.1084	group
ENSMUSG00000045903	0.0049	0.0194	0.0039	0.0185	group
ENSMUSG00000016493	0.4056	0.0655	0.4225	0.0824	batch
ENSMUSG00000031503	0.0814	0.1975	0.0943	0.2103	group
ENSMUSG00000063511	0.1220	0.1202	0.1333	0.1315	batch
ENSMUSG00000023968	0.0343	0.0650	0.0389	0.0696	group
ENSMUSG00000026034	0.0774	0.1375	0.0878	0.1479	group
ENSMUSG00000110390	0.0904	0.1242	0.1011	0.1348	group
ENSMUSG00000034467	0.0178	0.2078	0.0201	0.2101	group
ENSMUSG00000009350	0.0515	0.0356	0.0492	0.0332	batch
ENSMUSG00000041261	0.0002	0.0519	0.0001	0.0518	group
ENSMUSG00000028962	0.0004	0.0486	0.0003	0.0485	group
ENSMUSG00000107962	0.2013	0.1536	0.2191	0.1714	batch
ENSMUSG00000037738	0.0010	0.1562	0.0010	0.1562	group
ENSMUSG00000116718	0.1346	0.1052	0.1453	0.1158	batch
ENSMUSG00000078485	0.1025	0.1180	0.1130	0.1284	group
ENSMUSG00000032511	0.0007	0.0458	0.0003	0.0453	group
ENSMUSG00000021032	0.0009	0.1313	0.0023	0.1328	group
ENSMUSG00000045282	0.0349	0.1753	0.0431	0.1836	group
ENSMUSG00000107826	0.1414	0.0555	0.1505	0.0645	batch
ENSMUSG00000042707	0.0159	0.2083	0.0167	0.2091	group
ENSMUSG00000037762	0.0006	0.0524	0.0010	0.0527	group
ENSMUSG00000048732	0.1256	0.0336	0.1197	0.0277	batch
ENSMUSG00000023122	0.0018	0.0457	0.0017	0.0457	group
ENSMUSG00000074483	0.0341	0.0763	0.0315	0.0736	group
ENSMUSG00000113167	0.6087	0.0435	0.6272	0.0619	batch
ENSMUSG00000017677	0.2565	0.1713	0.2776	0.1924	batch
ENSMUSG00000018581	0.0000	0.0248	0.0001	0.0249	group
ENSMUSG00000107927	0.0276	0.0167	0.0299	0.0191	batch
ENSMUSG00000040605	0.0107	0.1887	0.0152	0.1932	group
ENSMUSG00000027318	0.1392	0.1152	0.1390	0.1149	batch
ENSMUSG00000053465	0.0026	0.0579	0.0036	0.0589	group
ENSMUSG00000036972	0.0180	0.0592	0.0183	0.0595	group
ENSMUSG00000020178	0.0020	0.0118	0.0017	0.0115	group
ENSMUSG00000015647	0.0484	0.0607	0.0529	0.0652	group
ENSMUSG00000024033	0.0060	0.1542	0.0060	0.1543	group
ENSMUSG00000009378	0.0417	0.0364	0.0410	0.0357	batch
ENSMUSG00000038115	0.0062	0.0764	0.0042	0.0744	group
ENSMUSG00000051029	0.0135	0.1077	0.0115	0.1057	group
ENSMUSG00000029022	0.0452	0.0900	0.0505	0.0953	group
ENSMUSG00000022829	0.0001	0.0283	0.0000	0.0282	group
ENSMUSG00000104435	0.0948	0.0802	0.1033	0.0887	batch
ENSMUSG00000040167	0.8791	0.0069	0.8853	0.0131	batch
ENSMUSG00000032122	0.0076	0.0406	0.0080	0.0410	group
ENSMUSG00000030525	0.0732	0.0141	0.0711	0.0120	batch
ENSMUSG00000021250	0.0101	0.0212	0.0101	0.0212	group
ENSMUSG00000034616	0.1070	0.1312	0.1191	0.1434	group
ENSMUSG00000085007	0.0554	0.0143	0.0540	0.0129	batch
ENSMUSG00000078552	0.0233	0.0680	0.0264	0.0712	group
ENSMUSG00000036198	0.0174	0.1972	0.0239	0.2036	group
ENSMUSG00000026475	0.0401	0.0132	0.0422	0.0153	batch
ENSMUSG00000024650	0.0994	0.0229	0.1017	0.0253	batch
ENSMUSG00000028749	0.0184	0.0173	0.0178	0.0167	batch
ENSMUSG00000032586	0.0016	0.1374	0.0005	0.1363	group
ENSMUSG00000038760	0.0481	0.0217	0.0450	0.0185	batch
ENSMUSG00000036357	0.0068	0.0754	0.0049	0.0734	group
ENSMUSG00000030878	0.0058	0.0795	0.0064	0.0801	group
ENSMUSG00000029661	0.0048	0.0594	0.0066	0.0612	group
ENSMUSG00000039629	0.0154	0.0572	0.0133	0.0551	group
ENSMUSG00000086859	0.0669	0.0932	0.0734	0.0996	group
ENSMUSG00000039552	0.0024	0.1046	0.0025	0.1048	group
ENSMUSG00000066150	0.0001	0.0673	0.0001	0.0672	group
ENSMUSG00000035279	0.0962	0.2091	0.1099	0.2227	group
